# symbol->address linker-facts table (bead evm-asm-4ch8f.6, wave .9.3)
# Regenerate: scripts/gen-symbol-addresses.py --build
# columns: unit	symbol	address	section	stability
# STABLE addresses are pinned by codegen/linker flags; LINK_DEPENDENT
# addresses move on any .text/.data size change and MUST be read from the ELF.
stateless_guest	account_add_balance	0x80005884	.text	LINK_DEPENDENT
stateless_guest	mpt_walk	0x80005a34	.text	LINK_DEPENDENT
stateless_guest	mpt_lookup_by_key	0x80005f1c	.text	LINK_DEPENDENT
stateless_guest	account_decode	0x80005fb4	.text	LINK_DEPENDENT
stateless_guest	account_at_address	0x800061d4	.text	LINK_DEPENDENT
stateless_guest	extcodesize_at_header_state_root	0x800062c0	.text	LINK_DEPENDENT
stateless_guest	node_db_append	0x80006410	.text	LINK_DEPENDENT
stateless_guest	node_db_lookup	0x800064d0	.text	LINK_DEPENDENT
stateless_guest	mpt_resolve_cache_reset	0x80006554	.text	LINK_DEPENDENT
stateless_guest	mpt_node_resolve	0x80006578	.text	LINK_DEPENDENT
stateless_guest	mpt_set_record_walk_db	0x80006738	.text	LINK_DEPENDENT
stateless_guest	mpt_set_acc	0x80006b40	.text	LINK_DEPENDENT
stateless_guest	mpt_delete_walk_db	0x80006d24	.text	LINK_DEPENDENT
stateless_guest	mpt_extension_extract	0x80006d28	.text	LINK_DEPENDENT
stateless_guest	mpt_delete_acc	0x80006ea8	.text	LINK_DEPENDENT
stateless_guest	mpt_state_root	0x80007a80	.text	LINK_DEPENDENT
stateless_guest	mpt_leaf_extract	0x80007b9c	.text	LINK_DEPENDENT
stateless_guest	mpt_extension_node_encode	0x80007d20	.text	LINK_DEPENDENT
stateless_guest	mpt_insert_walk_db	0x80007f0c	.text	LINK_DEPENDENT
stateless_guest	mpt_insert_acc	0x8000841c	.text	LINK_DEPENDENT
stateless_guest	mpt_state_root_ins	0x80008ee0	.text	LINK_DEPENDENT
stateless_guest	mpt_one_leaf_root_indexed	0x80009094	.text	LINK_DEPENDENT
stateless_guest	withdrawals_state_root	0x8000912c	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_trie_root_one_leaf	0x800092c4	.text	LINK_DEPENDENT
stateless_guest	rlp_prefix_to_buffer	0x80009488	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_large_leaf_hash	0x800094f4	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_trie_root_large	0x800096c8	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_trie_root_small	0x800099bc	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_stream_leaf_hash	0x80009bb4	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_sort_changes	0x80009db0	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_leaf_ref	0x80009fb0	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_build_subtree	0x8000a0f0	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_trie_root_bounded	0x8000a3ac	.text	LINK_DEPENDENT
stateless_guest	mpt_indexed_trie_root_bounded_from_values	0x8000a49c	.text	LINK_DEPENDENT
stateless_guest	header_extract_withdrawals_root	0x8000a60c	.text	LINK_DEPENDENT
